STOCK_REGION,STATION_ID,CLAT,CLON
BBRKC,A-02,55,-166.93
BBRKC,A-03,55,-166.33
BBRKC,A-04,55,-165.75
BBRKC,A-05,55,-165.15
BBRKC,A-06,55,-164.58
BBRKC,B-01,55.33,-167.55
BBRKC,B-02,55.33,-166.96
BBRKC,B-03,55.33,-166.35
BBRKC,B-04,55.33,-165.78
BBRKC,B-05,55.33,-165.16
BBRKC,B-06,55.33,-164.58
BBRKC,B-07,55.33,-164
BBRKC,B-08,55.33,-163.41
BBRKC,C-01,55.66,-167.58
BBRKC,C-02,55.66,-166.98
BBRKC,C-03,55.66,-166.38
BBRKC,C-04,55.66,-165.8
BBRKC,C-05,55.66,-165.16
BBRKC,C-06,55.66,-164.58
BBRKC,C-07,55.66,-164
BBRKC,C-08,55.66,-163.4
BBRKC,C-09,55.66,-162.83
BBRKC,D-01,56,-167.61
BBRKC,D-02,56,-167
BBRKC,D-03,56,-166.4
BBRKC,D-04,56,-165.78
BBRKC,D-05,56,-165.18
BBRKC,D-06,56,-164.58
BBRKC,D-07,56,-164
BBRKC,D-08,56,-163.4
BBRKC,D-09,56,-162.81
BBRKC,D-10,56,-162.23
BBRKC,E-01,56.33,-167.65
BBRKC,E-02,56.33,-167.03
BBRKC,E-03,56.33,-166.41
BBRKC,E-04,56.33,-165.8
BBRKC,E-05,56.33,-165.2
BBRKC,E-06,56.33,-164.58
BBRKC,E-07,56.33,-164
BBRKC,E-08,56.33,-163.4
BBRKC,E-09,56.33,-162.8
BBRKC,E-10,56.33,-162.2
BBRKC,E-11,56.33,-161.61
BBRKC,E-12,56.33,-161
BBRKC,F-01,56.66,-167.66
BBRKC,F-02,56.66,-167.06
BBRKC,F-03,56.66,-166.43
BBRKC,F-04,56.66,-165.83
BBRKC,F-05,56.66,-165.21
BBRKC,F-06,56.66,-164.6
BBRKC,F-07,56.66,-164
BBRKC,F-08,56.66,-163.38
BBRKC,F-09,56.66,-162.78
BBRKC,F-10,56.66,-162.18
BBRKC,F-11,56.66,-161.58
BBRKC,F-12,56.66,-160.98
BBRKC,F-13,56.66,-160.36
BBRKC,F-14,56.66,-159.75
BBRKC,G-01,57,-167.7
BBRKC,G-02,57,-167.08
BBRKC,G-03,57,-166.46
BBRKC,G-04,57,-165.85
BBRKC,G-05,57,-165.21
BBRKC,G-06,57,-164.6
BBRKC,G-07,57,-164
BBRKC,G-08,57,-163.38
BBRKC,G-09,57,-162.78
BBRKC,G-10,57,-162.16
BBRKC,G-11,57,-161.56
BBRKC,G-12,57,-160.95
BBRKC,G-13,57,-160.33
BBRKC,G-14,57,-159.71
BBRKC,G-15,57,-159.11
BBRKC,H-01,57.33,-167.73
BBRKC,H-02,57.33,-167.11
BBRKC,H-03,57.33,-166.48
BBRKC,H-04,57.33,-165.86
BBRKC,H-05,57.33,-165.23
BBRKC,H-06,57.33,-164.61
BBRKC,H-07,57.33,-164
BBRKC,H-08,57.33,-163.38
BBRKC,H-09,57.33,-162.76
BBRKC,H-10,57.33,-162.15
BBRKC,H-11,57.33,-161.53
BBRKC,H-12,57.33,-160.93
BBRKC,H-13,57.33,-160.3
BBRKC,H-14,57.33,-159.66
BBRKC,H-15,57.33,-159.06
BBRKC,H-16,57.33,-158.4
BBRKC,I-01,57.66,-167.76
BBRKC,I-02,57.66,-167.13
BBRKC,I-03,57.66,-166.5
BBRKC,I-04,57.66,-165.88
BBRKC,I-05,57.66,-165.25
BBRKC,I-06,57.66,-164.61
BBRKC,I-07,57.66,-164
BBRKC,I-08,57.66,-163.36
BBRKC,I-09,57.66,-162.75
BBRKC,I-10,57.66,-162.13
BBRKC,I-11,57.66,-161.5
BBRKC,I-12,57.66,-160.88
BBRKC,I-13,57.66,-160.26
BBRKC,I-14,57.66,-159.63
BBRKC,I-15,57.66,-159.01
BBRKC,I-16,57.66,-158.35
BBRKC,J-01,58,-167.8
BBRKC,J-02,58,-167.16
BBRKC,J-03,58,-166.51
BBRKC,J-04,58,-165.9
BBRKC,J-05,58,-165.25
BBRKC,J-06,58,-164.61
BBRKC,J-07,58,-164
BBRKC,J-08,58,-163.36
BBRKC,J-09,58,-162.75
BBRKC,J-10,58,-162.11
BBRKC,J-11,58,-161.48
BBRKC,J-12,58,-160.85
BBRKC,J-13,58,-160.21
BBRKC,J-14,58,-159.6
BBRKC,J-15,58,-158.96
BBRKC,J-16,58,-158.31
BBRKC,K-01,58.33,-167.83
BBRKC,K-02,58.33,-167.18
BBRKC,K-03,58.33,-166.55
BBRKC,K-04,58.33,-165.91
BBRKC,K-05,58.33,-165.28
BBRKC,K-06,58.33,-164.63
BBRKC,K-07,58.33,-164
BBRKC,K-08,58.33,-163.36
BBRKC,K-09,58.33,-162.71
BBRKC,K-10,58.33,-162.05
BBRKC,K-11,58.33,-161.4
BBRKC,K-12,58.33,-160.75
BBRKC,K-13,58.33,-160.18
BBRKC,K-14,58.33,-159.55
BBRKC,Z-05,54.66,-165.15
PribBKC,F-18,56.66,-168.28
PribBKC,F-19,56.66,-168.9
PribBKC,F-20,56.66,-169.5
PribBKC,F-21,56.66,-170.11
PribBKC,F-22,56.66,-170.73
PribBKC,G-18,57,-168.33
PribBKC,G-19,57,-168.95
PribBKC,G-20,57,-169.55
PribBKC,G-21,57,-170.16
PribBKC,G-22,57,-170.78
PribBKC,GF1918,56.83333,-168.61667
PribBKC,GF2019,56.83333,-169.3
PribBKC,GF2120,56.83333,-169.9
PribBKC,GF2221,56.83333,-170.48333
PribBKC,H-18,57.33,-168.36
PribBKC,H-19,57.33,-168.98
PribBKC,H-20,57.33,-169.6
PribBKC,H-21,57.33,-170.21
PribBKC,H-22,57.33,-170.85
PribBKC,HG1918,57.16667,-168.63333
PribBKC,HG2019,57.16667,-169.31667
PribBKC,HG2120,57.16667,-169.9
PribBKC,HG2221,57.16667,-170.48333
PribBKC,I-18,57.66,-168.4
PribBKC,I-19,57.66,-169.03
PribBKC,I-20,57.66,-169.65
PribBKC,I-21,57.66,-170.26
PribBKC,I-22,57.66,-170.9
PribBKC,IH1918,57.5,-168.75
PribBKC,IH2019,57.5,-169.36667
PribBKC,IH2120,57.5,-169.98333
PribBKC,IH2221,57.5,-170.58333
PribBKC,J-18,58,-168.43
PribBKC,J-19,58,-169.06
PribBKC,J-20,58,-169.7
PribBKC,J-21,58,-170.33
PribBKC,J-22,58,-170.96
PribBKC,JI1918,57.83333,-168.73333
PribBKC,JI2019,57.83333,-169.36667
PribBKC,JI2120,57.83333,-169.98333
PribBKC,JI2221,57.83333,-170.61667
PribBKC,C-18,55.66,-168.18
PribBKC,D-18,56,-168.21
PribBKC,E-18,56.33,-168.25
PribBKC,E-19,56.33,-168.86
PribBKC,E-20,56.33,-169.46
PribBKC,E-21,56.33,-170.06
PribBKC,E-22,56.33,-170.68
PribBKC,F-23,56.66,-171.35
PribBKC,F-24,56.66,-171.96
PribBKC,F-25,56.66,-172.56
PribBKC,G-23,57,-171.4
PribBKC,G-24,57,-172.03
PribBKC,G-25,57,-172.65
PribBKC,G-26,57,-173.25
PribBKC,H-23,57.33,-171.46
PribBKC,H-24,57.33,-172.1
PribBKC,H-25,57.33,-172.71
PribBKC,H-26,57.33,-173.33
PribBKC,I-23,57.66,-171.53
PribBKC,I-24,57.66,-172.16
PribBKC,I-25,57.66,-172.8
PribBKC,I-26,57.66,-173.4
PribBKC,J-23,58,-171.6
PribBKC,J-24,58,-172.23
PribBKC,J-25,58,-172.86
PribBKC,J-26,58,-173.48
PribBKC,K-18,58.33,-168.46
PribBKC,K-19,58.33,-169.11
PribBKC,K-20,58.33,-169.73
PribBKC,K-21,58.33,-170.38
PribBKC,K-22,58.33,-171.01
PribBKC,K-23,58.33,-171.65
PribBKC,K-24,58.33,-172.3
PribBKC,K-25,58.33,-172.93
PribBKC,K-26,58.33,-173.56
PribBKC,K-27,58.33,-174.31
PribRKC,F-18,56.66,-168.28
PribRKC,F-19,56.66,-168.9
PribRKC,F-20,56.66,-169.5
PribRKC,F-21,56.66,-170.11
PribRKC,F-22,56.66,-170.73
PribRKC,G-18,57,-168.33
PribRKC,G-19,57,-168.95
PribRKC,G-20,57,-169.55
PribRKC,G-21,57,-170.16
PribRKC,G-22,57,-170.78
PribRKC,GF1918,56.83333,-168.61667
PribRKC,GF2019,56.83333,-169.3
PribRKC,GF2120,56.83333,-169.9
PribRKC,GF2221,56.83333,-170.48333
PribRKC,H-18,57.33,-168.36
PribRKC,H-19,57.33,-168.98
PribRKC,H-20,57.33,-169.6
PribRKC,H-21,57.33,-170.21
PribRKC,H-22,57.33,-170.85
PribRKC,HG1918,57.16667,-168.63333
PribRKC,HG2019,57.16667,-169.31667
PribRKC,HG2120,57.16667,-169.9
PribRKC,HG2221,57.16667,-170.48333
PribRKC,I-18,57.66,-168.4
PribRKC,I-19,57.66,-169.03
PribRKC,I-20,57.66,-169.65
PribRKC,I-21,57.66,-170.26
PribRKC,I-22,57.66,-170.9
PribRKC,IH1918,57.5,-168.75
PribRKC,IH2019,57.5,-169.36667
PribRKC,IH2120,57.5,-169.98333
PribRKC,IH2221,57.5,-170.58333
PribRKC,J-18,58,-168.43
PribRKC,J-19,58,-169.06
PribRKC,J-20,58,-169.7
PribRKC,J-21,58,-170.33
PribRKC,J-22,58,-170.96
PribRKC,JI1918,57.83333,-168.73333
PribRKC,JI2019,57.83333,-169.36667
PribRKC,JI2120,57.83333,-169.98333
PribRKC,JI2221,57.83333,-170.61667
PribRKC,C-18,55.66,-168.18
PribRKC,D-18,56,-168.21
PribRKC,E-18,56.33,-168.25
PribRKC,E-19,56.33,-168.86
PribRKC,E-20,56.33,-169.46
PribRKC,E-21,56.33,-170.06
PribRKC,E-22,56.33,-170.68
PribRKC,F-23,56.66,-171.35
PribRKC,F-24,56.66,-171.96
PribRKC,F-25,56.66,-172.56
PribRKC,G-23,57,-171.4
PribRKC,G-24,57,-172.03
PribRKC,G-25,57,-172.65
PribRKC,G-26,57,-173.25
PribRKC,H-23,57.33,-171.46
PribRKC,H-24,57.33,-172.1
PribRKC,H-25,57.33,-172.71
PribRKC,H-26,57.33,-173.33
PribRKC,I-23,57.66,-171.53
PribRKC,I-24,57.66,-172.16
PribRKC,I-25,57.66,-172.8
PribRKC,I-26,57.66,-173.4
PribRKC,J-23,58,-171.6
PribRKC,J-24,58,-172.23
PribRKC,J-25,58,-172.86
PribRKC,J-26,58,-173.48
PribRKC,K-18,58.33,-168.46
PribRKC,K-19,58.33,-169.11
PribRKC,K-20,58.33,-169.73
PribRKC,K-21,58.33,-170.38
PribRKC,K-22,58.33,-171.01
PribRKC,K-23,58.33,-171.65
PribRKC,K-24,58.33,-172.3
PribRKC,K-25,58.33,-172.93
PribRKC,K-26,58.33,-173.56
PribRKC,K-27,58.33,-174.31
Snow,F-18,56.66,-168.28
Snow,F-19,56.66,-168.9
Snow,F-20,56.66,-169.5
Snow,F-21,56.66,-170.11
Snow,F-22,56.66,-170.73
Snow,G-18,57,-168.33
Snow,G-19,57,-168.95
Snow,G-20,57,-169.55
Snow,G-21,57,-170.16
Snow,G-22,57,-170.78
Snow,GF1918,56.83333,-168.61667
Snow,GF2019,56.83333,-169.3
Snow,GF2120,56.83333,-169.9
Snow,GF2221,56.83333,-170.48333
Snow,H-18,57.33,-168.36
Snow,H-19,57.33,-168.98
Snow,H-20,57.33,-169.6
Snow,H-21,57.33,-170.21
Snow,H-22,57.33,-170.85
Snow,HG1918,57.16667,-168.63333
Snow,HG2019,57.16667,-169.31667
Snow,HG2120,57.16667,-169.9
Snow,HG2221,57.16667,-170.48333
Snow,I-18,57.66,-168.4
Snow,I-19,57.66,-169.03
Snow,I-20,57.66,-169.65
Snow,I-21,57.66,-170.26
Snow,I-22,57.66,-170.9
Snow,IH1918,57.5,-168.75
Snow,IH2019,57.5,-169.36667
Snow,IH2120,57.5,-169.98333
Snow,IH2221,57.5,-170.58333
Snow,J-18,58,-168.43
Snow,J-19,58,-169.06
Snow,J-20,58,-169.7
Snow,J-21,58,-170.33
Snow,J-22,58,-170.96
Snow,JI1918,57.83333,-168.73333
Snow,JI2019,57.83333,-169.36667
Snow,JI2120,57.83333,-169.98333
Snow,JI2221,57.83333,-170.61667
Snow,N-24,59.33,-172.5
Snow,N-25,59.33,-173.15
Snow,N-26,59.33,-173.8
Snow,O-23,59.66,-171.9
Snow,O-24,59.66,-172.56
Snow,O-25,59.66,-173.23
Snow,O-26,59.66,-173.86
Snow,O-27,59.66,-174.45
Snow,ON2524,59.5,-172.88333
Snow,ON2625,59.5,-173.5
Snow,P-23,60,-171.96
Snow,P-24,60,-172.63
Snow,P-25,60,-173.3
Snow,P-26,60,-173.95
Snow,P-27,60,-174.6
Snow,PO2423,59.83333,-172.25
Snow,PO2524,59.83333,-172.91667
Snow,PO2625,59.83333,-173.58333
Snow,PO2726,59.83333,-174.23333
Snow,Q-23,60.33,-172.06
Snow,Q-25,60.33,-173.4
Snow,Q-26,60.33,-174.06
Snow,Q-27,60.33,-174.71
Snow,QP2423,60.16667,-172.33333
Snow,QP2524,60.16667,-173.01667
Snow,QP2625,60.16667,-173.68333
Snow,QP2726,60.16667,-174.35
Snow,A-02,55,-166.93
Snow,A-03,55,-166.33
Snow,B-01,55.33,-167.55
Snow,B-02,55.33,-166.96
Snow,B-03,55.33,-166.35
Snow,C-01,55.66,-167.58
Snow,C-02,55.66,-166.98
Snow,C-03,55.66,-166.38
Snow,C-18,55.66,-168.18
Snow,D-01,56,-167.61
Snow,D-02,56,-167
Snow,D-03,56,-166.4
Snow,D-18,56,-168.21
Snow,E-01,56.33,-167.65
Snow,E-02,56.33,-167.03
Snow,E-03,56.33,-166.41
Snow,E-18,56.33,-168.25
Snow,E-19,56.33,-168.86
Snow,E-20,56.33,-169.46
Snow,E-21,56.33,-170.06
Snow,E-22,56.33,-170.68
Snow,F-01,56.66,-167.66
Snow,F-02,56.66,-167.06
Snow,F-03,56.66,-166.43
Snow,F-23,56.66,-171.35
Snow,F-24,56.66,-171.96
Snow,F-25,56.66,-172.56
Snow,G-01,57,-167.7
Snow,G-02,57,-167.08
Snow,G-03,57,-166.46
Snow,G-23,57,-171.4
Snow,G-24,57,-172.03
Snow,G-25,57,-172.65
Snow,G-26,57,-173.25
Snow,H-01,57.33,-167.73
Snow,H-02,57.33,-167.11
Snow,H-03,57.33,-166.48
Snow,H-23,57.33,-171.46
Snow,H-24,57.33,-172.1
Snow,H-25,57.33,-172.71
Snow,H-26,57.33,-173.33
Snow,I-01,57.66,-167.76
Snow,I-02,57.66,-167.13
Snow,I-03,57.66,-166.5
Snow,I-23,57.66,-171.53
Snow,I-24,57.66,-172.16
Snow,I-25,57.66,-172.8
Snow,I-26,57.66,-173.4
Snow,J-01,58,-167.8
Snow,J-02,58,-167.16
Snow,J-03,58,-166.51
Snow,J-23,58,-171.6
Snow,J-24,58,-172.23
Snow,J-25,58,-172.86
Snow,J-26,58,-173.48
Snow,K-01,58.33,-167.83
Snow,K-02,58.33,-167.18
Snow,K-03,58.33,-166.55
Snow,K-18,58.33,-168.46
Snow,K-19,58.33,-169.11
Snow,K-20,58.33,-169.73
Snow,K-21,58.33,-170.38
Snow,K-22,58.33,-171.01
Snow,K-23,58.33,-171.65
Snow,K-24,58.33,-172.3
Snow,K-25,58.33,-172.93
Snow,K-26,58.33,-173.56
Snow,K-27,58.33,-174.31
Snow,L-01,58.66,-167.86
Snow,L-02,58.66,-167.21
Snow,L-03,58.66,-166.56
Snow,L-18,58.66,-168.5
Snow,L-19,58.66,-169.15
Snow,L-20,58.66,-169.78
Snow,L-21,58.66,-170.43
Snow,L-22,58.66,-171.08
Snow,L-23,58.66,-171.71
Snow,L-24,58.66,-172.36
Snow,L-25,58.66,-173
Snow,L-26,58.66,-173.63
Snow,L-27,58.66,-174.26
Snow,L-28,58.66,-174.9
Snow,L-29,58.66,-175.55
Snow,L-30,58.66,-176.2
Snow,L-31,58.66,-176.83
Snow,M-01,59,-167.88
Snow,M-02,59,-167.23
Snow,M-03,59,-166.58
Snow,M-18,59,-168.53
Snow,M-19,59,-169.18
Snow,M-20,59,-169.83
Snow,M-21,59,-170.48
Snow,M-22,59,-171.13
Snow,M-23,59,-171.78
Snow,M-24,59,-172.43
Snow,M-25,59,-173.08
Snow,M-26,59,-173.71
Snow,M-27,59,-174.36
Snow,M-28,59,-175
Snow,M-29,59,-175.73
Snow,M-30,59,-176.31
Snow,M-31,59,-176.95
Snow,M-32,59,-177.6
Snow,N-01,59.33,-167.91
Snow,N-02,59.33,-167.26
Snow,N-03,59.33,-166.6
Snow,N-18,59.33,-168.56
Snow,N-19,59.33,-169.23
Snow,N-20,59.33,-169.86
Snow,N-21,59.33,-170.53
Snow,N-22,59.33,-171.18
Snow,N-23,59.33,-171.83
Snow,N-27,59.33,-174.45
Snow,N-28,59.33,-175.1
Snow,N-29,59.33,-175.75
Snow,N-30,59.33,-176.38
Snow,N-31,59.33,-177.06
Snow,O-01,59.66,-167.95
Snow,O-02,59.66,-167.28
Snow,O-03,59.66,-166.63
Snow,O-18,59.66,-168.61
Snow,O-19,59.66,-169.26
Snow,O-20,59.66,-169.91
Snow,O-21,59.66,-170.58
Snow,O-22,59.66,-171.25
Snow,O-28,59.66,-175.1
Snow,O-29,59.66,-175.86
Snow,O-30,59.66,-176.53
Snow,O-31,59.66,-177.15
Snow,P-01,60,-167.98
Snow,P-18,60,-168.65
Snow,P-19,60,-169.31
Snow,P-20,60,-169.96
Snow,P-21,60,-170.63
Snow,P-22,60,-171.3
Snow,P-28,60,-175.26
Snow,P-29,60,-175.93
Snow,P-30,60,-176.71
Snow,P-31,60,-177.21
Snow,P-32,60,-177.93
Snow,Q-01,60.33,-167.98
Snow,Q-02,60.33,-167.3
Snow,Q-18,60.33,-168.68
Snow,Q-19,60.33,-169.33
Snow,Q-20,60.33,-170.03
Snow,Q-21,60.33,-170.66
Snow,Q-22,60.33,-171.36
Snow,Q-28,60.33,-175.38
Snow,Q-29,60.33,-176.03
Snow,Q-30,60.33,-176.71
Snow,Q-31,60.33,-177.38
Snow,R-22,60.66,-171.45
Snow,R-23,60.66,-172.11
Snow,R-24,60.66,-172.78
Snow,R-25,60.66,-173.46
Snow,R-26,60.66,-174.13
Snow,R-27,60.66,-174.83
Snow,R-28,60.66,-175.45
